TimeSeconds,IntensityVolts
0, 5.929
5, 5.91
10, 5.927
15, 5.93
20, 5.945
25, 5.953
30, 5.95
35, 5.952
40, 5.933
45, 5.894
50, 5.924
55, 5.975
60, 5.923
65, 5.899
70,5.913
75,5.933
80,5.941
85,5.979
90,5.995
95,5.982
100,5.963
105,5.964
110,5.987
115,5.967
120,5.974
125,5.976
130,5.965
135,5.959
140,5.956
145,5.959
150,5.989
155,5.982
160,5.986
165,6.009
170,6.016
175,6.012
180,6.007
185,6.003
190,6.024
195,6.016
200,5.997
205,5.974
210,5.958
215,5.964
220,5.954
225,5.972
230,5.983
235,5.987
240,6.004
245,5.983
250,5.999
255,5.996
260,6
265,6.015
270,6.008
275,6.026
280,6.005
285,6.001
290,6.009
295,6.016
300,6.02
305,6.021
310,6.022
315,6.015
320,6.024
325,6.033
330,6.024
335,5.992
340,6.003
345,5.987
350,5.967
355,5.969
360,5.994
365,5.951
370,5.961
375,5.989
380,5.969
385,5.948
390,5.949
395,5.975
400,5.952
405,5.954
410,5.977
415,5.989
420,5.968
425,5.962
430,5.953
435,5.954
440,5.934
445,5.907
450,5.913
455,5.903
